car;price;city;year;base;engine;color;wheel;url;transmission
Hyundai Starex;5800000;Алматы;2011; микроавтобус;2.5; серебристый; левый руль;https://kolesa.kz//a/show/105604390; КПП автомат
Volkswagen Polo;3599999;Алматы;2014; седан;1.6; белый; левый руль;https://kolesa.kz//a/show/105604191; КПП автомат
Hyundai Santa Fe;9300000;Алматы;2016; кроссовер;2.4; белый; левый руль;https://kolesa.kz//a/show/105292049; КПП автомат
Ford Escape;3100000;Алматы;2004; кроссовер;3; коричневый; левый руль;https://kolesa.kz//a/show/105355180; КПП автомат
Toyota Land Cruiser Prado;14500000;Алматы;2014; внедорожник;2.7; белый; левый руль;https://kolesa.kz//a/show/105245416; КПП автомат
Toyota Camry;13200000;Алматы;2019; седан;2.5; белый; левый руль;https://kolesa.kz//a/show/104307662; КПП автомат
Jeep Grand Cherokee;5300000;Алматы;2005; внедорожник;3.7; белый; левый руль;https://kolesa.kz//a/show/105476526; КПП автомат
Subaru Outback;6400000;Алматы;2012; универсал;2.5; белый; левый руль;https://kolesa.kz//a/show/105141253; КПП вариатор
Toyota Camry;11200000;Алматы;2018; седан;2.5; белый; левый руль;https://kolesa.kz//a/show/105123154; КПП типтроник
Land Rover Range Rover;9000000;Алматы;2010; внедорожник;5; нет цвета; левый руль;https://kolesa.kz//a/show/100630979; КПП автомат
BMW 520;9000000;Алматы;2015; седан;2; черный; левый руль;https://kolesa.kz//a/show/105272713; КПП автомат
Mercedes-Benz S 350;6200000;Алматы;2006; седан;3.5; серебристый; левый руль;https://kolesa.kz//a/show/104279746; КПП автомат
Toyota Camry;7200000;Алматы;2014; седан;2; черный; левый руль;https://kolesa.kz//a/show/45951177; КПП автомат
Toyota Camry;7400000;Алматы;2012; седан;2.5; черный; левый руль;https://kolesa.kz//a/show/104609353; КПП автомат
Fiat Ducato;22000000;Алматы;2011; фургон;2.3; нет цвета; левый руль;https://kolesa.kz//a/show/105338515; КПП механика
Mercedes-Benz B 200;7990000;Алматы;2014; микровэн;1.6; бирюзовый; левый руль;https://kolesa.kz//a/show/103598539; КПП автомат
Toyota Corolla;2300000;Алматы;1998; купе;1.4; черный; левый руль;https://kolesa.kz//a/show/98747554; КПП автомат
Lexus LX 570;18500000;Алматы;2012; внедорожник;5.7; черный; левый руль;https://kolesa.kz//a/show/105618390; КПП автомат
Audi A4;5490000;Алматы;2011; седан;1.8; серый; левый руль;https://kolesa.kz//a/show/104220262; КПП вариатор
Hyundai Elantra;5350000;Алматы;2015; седан;1.6; серебристый; левый руль;https://kolesa.kz//a/show/105586401; КПП автомат
Peugeot 206;1170000;Алматы;2002; хэтчбек;1.4; серый; левый руль;https://kolesa.kz//a/show/99897012; КПП механика
Toyota Highlander;8500000;Алматы;2008; кроссовер;3.5; серебристый; левый руль;https://kolesa.kz//a/show/105444545; КПП типтроник
ВАЗ (Lada) Largus;2950000;Алматы;2013; универсал;1.6; серебристый; левый руль;https://kolesa.kz//a/show/101304275; КПП механика
Jeep Grand Cherokee;13900000;Алматы;2014; внедорожник;3.6; черный; левый руль;https://kolesa.kz//a/show/100237086; КПП автомат
Hyundai Tucson;2900000;Алматы;2005; кроссовер;2; вишня; левый руль;https://kolesa.kz//a/show/104549332; КПП автомат
Mitsubishi Montero Sport;3100000;Алматы;2000; внедорожник;3; вишня; левый руль;https://kolesa.kz//a/show/105515539; КПП автомат
Toyota Camry;7900000;Алматы;2011; седан;2.5; серебристый; левый руль;https://kolesa.kz//a/show/103793132; КПП автомат
Audi A6;24299000;Алматы;2020; седан;2; нет цвета; левый руль;https://kolesa.kz//a/show/104094539; КПП робот
Toyota Camry;2300000;Алматы;1999; седан;2.2; золотистый; левый руль;https://kolesa.kz//a/show/104159053; КПП автомат
Audi Q8;41454000;Алматы;2020; кроссовер;3; белый; левый руль;https://kolesa.kz//a/show/105338778; КПП автомат
Toyota Camry;6700000;Алматы;2013; седан;2.5; нет цвета; левый руль;https://kolesa.kz//a/show/105587094; КПП типтроник
Volkswagen Passat;730000;Алматы;1991; седан;1.8; серебристый; левый руль;https://kolesa.kz//a/show/105501197; КПП механика
Toyota Land Cruiser;6500000;Алматы;2003; седан;4.7; золотистый; левый руль;https://kolesa.kz//a/show/102307733; КПП автомат
Audi A6;24150000;Алматы;2020; седан;2; белый; левый руль;https://kolesa.kz//a/show/104631349; КПП типтроник
Audi A6;23950000;Алматы;2020; седан;2; черный; левый руль;https://kolesa.kz//a/show/102549008; КПП типтроник
ГАЗ ГАЗель;2000000;Алматы;2007; фургон;2.2; белый; левый руль;https://kolesa.kz//a/show/105330179; КПП механика
Audi A7;43150000;Алматы;2020; лифтбэк;3; серый; левый руль;https://kolesa.kz//a/show/105685481; КПП типтроник
Audi A6;27522115;Алматы;2020; седан;2; красный; левый руль;https://kolesa.kz//a/show/105275031; КПП типтроник
Audi Q8;37500000;Алматы;2019; внедорожник;3; черный; левый руль;https://kolesa.kz//a/show/100703959; КПП автомат
Audi A7;40000000;Алматы;2020; лифтбэк;3; черный; левый руль;https://kolesa.kz//a/show/100703609; КПП типтроник
Audi A6;31970000;Алматы;2020; седан;2; черный; левый руль;https://kolesa.kz//a/show/103705275; КПП типтроник
Toyota Lite Ace;2790000;Алматы;1997; пикап;2; белый; правый руль;https://kolesa.kz//a/show/100604637; КПП автомат
Audi Q8;39151000;Алматы;2020; внедорожник;3; серый; левый руль;https://kolesa.kz//a/show/100703247; КПП автомат
Audi A6;19650000;Алматы;2020; седан;2; белый; левый руль;https://kolesa.kz//a/show/101211071; КПП типтроник
Audi A6;22000000;Алматы;2020; седан;2; серый; левый руль;https://kolesa.kz//a/show/100636515; КПП типтроник
Audi Q8;45080000;Алматы;2020; внедорожник;3; белый; левый руль;https://kolesa.kz//a/show/100189225; КПП автомат
Audi Q8;43803000;Алматы;2020; внедорожник;3; черный; левый руль;https://kolesa.kz//a/show/101020816; КПП типтроник
Nissan Murano;3700000;Алматы;2007; кроссовер;3.5; серебристый; левый руль;https://kolesa.kz//a/show/100668474; КПП вариатор
Volkswagen Passat;900000;Алматы;2000; седан;2.5; серебристый; левый руль;https://kolesa.kz//a/show/100175625; КПП типтроник
Mercedes-Benz V 250;22500000;Алматы;2014; минивэн;2.2; белый; левый руль;https://kolesa.kz//a/show/100177987; КПП автомат
Nissan Teana;6500000;Алматы;2014; седан;2.5; черный; левый руль;https://kolesa.kz//a/show/101343653; КПП вариатор
Lexus RX 300;4000000;Алматы;2001; кроссовер;3; белый; левый руль;https://kolesa.kz//a/show/100516322; КПП автомат
Ford Transit;9700000;Алматы;2014; фургон;2.2; белый; левый руль;https://kolesa.kz//a/show/105653298; КПП механика
Lexus NX 200;12200000;Алматы;2015; кроссовер;2; белый; левый руль;https://kolesa.kz//a/show/102992752; КПП автомат
Mercedes-Benz SL 500;5600000;Алматы;1992; кабриолет;5; нет цвета; левый руль;https://kolesa.kz//a/show/104899127; КПП типтроник
BMW X5 M;37000000;Алматы;2017; кроссовер;4.4; черный; левый руль;https://kolesa.kz//a/show/105562173; КПП автомат
Mercedes-Benz S 320;3000000;Алматы;1995; седан;3.2; серебристый; левый руль;https://kolesa.kz//a/show/105444081; КПП автомат
BMW 325;3033333;Алматы;2001; седан;2.5; серебристый; левый руль;https://kolesa.kz//a/show/102758847; КПП типтроник
Ford F-Series;12000000;Алматы;2010; пикап;5.4; черный; левый руль;https://kolesa.kz//a/show/104364130; КПП автомат
Toyota Highlander;6200000;Алматы;2002; кроссовер;3; нет цвета; левый руль;https://kolesa.kz//a/show/95205792; КПП автомат
Mercedes-Benz S 55;4700000;Алматы;2006; седан;5.5; серебристый; левый руль;https://kolesa.kz//a/show/105462995; КПП автомат
SsangYong Actyon;2600000;Алматы;2007; кроссовер;2; черный; левый руль;https://kolesa.kz//a/show/105148995; КПП автомат
Subaru Outback;2700000;Алматы;2001; универсал;2.5; белый; левый руль;https://kolesa.kz//a/show/105228429; КПП автомат
Nissan X-Trail;4500000;Алматы;2007; кроссовер;2.5; белый; левый руль;https://kolesa.kz//a/show/103800125; КПП автомат
Mercedes-Benz E 230;2300000;Алматы;1992; седан;2.3; синий; левый руль;https://kolesa.kz//a/show/98855714; КПП автомат
Kia Cee’d;4500000;Алматы;2014; хэтчбек;1.6; серебристый; левый руль;https://kolesa.kz//a/show/105587910; КПП типтроник
Kia Rio;6580000;Алматы;2020; универсал;1.6; нет цвета; левый руль;https://kolesa.kz//a/show/105691043; КПП типтроник
Kia Rio;6290000;Алматы;2020; седан;1.6; нет цвета; левый руль;https://kolesa.kz//a/show/105586584; КПП типтроник
Mazda 6;2440000;Алматы;2005; универсал;3; черный; левый руль;https://kolesa.kz//a/show/105517344; КПП автомат
Mercedes-Benz S 320;2700000;Алматы;1995; седан;3.2; черный; левый руль;https://kolesa.kz//a/show/105274365; КПП автомат
Subaru Legacy;5200000;Алматы;2007; седан;3; белый; левый руль;https://kolesa.kz//a/show/103983299; КПП вариатор
Volkswagen Polo;3800000;Алматы;2015; седан;1.6; черный; левый руль;https://kolesa.kz//a/show/105344796; КПП механика
ГАЗ 69;950000;Алматы;1955; внедорожник;2.1; зеленый; левый руль;https://kolesa.kz//a/show/105344923; КПП механика
Maserati Quattroporte;22000000;Алматы;2013; седан;3; черный; левый руль;https://kolesa.kz//a/show/104090731; КПП автомат
Toyota Highlander;21000000;Алматы;2018; кроссовер;3.5; белый; левый руль;https://kolesa.kz//a/show/104708651; КПП типтроник
Hyundai Accent;6000000;Алматы;2019; седан;1.6; серебристый; левый руль;https://kolesa.kz//a/show/105653003; КПП автомат
Nissan Xterra;4990000;Алматы;2005; внедорожник;4; белый; левый руль;https://kolesa.kz//a/show/105482048; КПП автомат
Volkswagen Transporter;5500000;Алматы;2010; фургон;1.9; белый; левый руль;https://kolesa.kz//a/show/105261659; КПП механика
Mazda CX-9;5500000;Алматы;2007; кроссовер;3.7; белый; левый руль;https://kolesa.kz//a/show/45142273; КПП автомат
Ford Sierra;500000;Алматы;1991; седан;1.8; белый; левый руль;https://kolesa.kz//a/show/104574885; КПП механика
Chevrolet TrailBlazer;4000000;Алматы;2005; внедорожник;4.2; серый; левый руль;https://kolesa.kz//a/show/105291520; КПП автомат
Toyota Vista;1800000;Алматы;1999; седан;2; серебристый; правый руль;https://kolesa.kz//a/show/105107257; КПП автомат
Hyundai Accent;4100000;Алматы;2014; седан;1.4; серебристый; левый руль;https://kolesa.kz//a/show/105407525; КПП автомат
Subaru Outback;2050000;Алматы;2003; универсал;3; золотистый; левый руль;https://kolesa.kz//a/show/105479343; КПП автомат
Nissan Qashqai;5000000;Алматы;2010; кроссовер;2; серый; левый руль;https://kolesa.kz//a/show/105552711; КПП типтроник
Renault Duster;4800000;Алматы;2015; кроссовер;2; зеленый; левый руль;https://kolesa.kz//a/show/99806583; КПП автомат
Subaru Impreza;3300000;Алматы;2007; седан;2; серый; левый руль;https://kolesa.kz//a/show/103432911; КПП автомат
Honda Accord;2500000;Алматы;1999; седан;1.8; белый; правый руль;https://kolesa.kz//a/show/102675887; КПП автомат
Nissan Qashqai;5100000;Алматы;2013; кроссовер;1.6; белый; левый руль;https://kolesa.kz//a/show/105617217; КПП вариатор
Toyota Camry;3800000;Алматы;2007; седан;2.4; серый; левый руль;https://kolesa.kz//a/show/105583750; КПП вариатор
Toyota Avalon;1800000;Алматы;1995; седан;3; белый; правый руль;https://kolesa.kz//a/show/98564390; КПП автомат
Subaru Outback;7300000;Алматы;2009; универсал;3.6; черный; левый руль;https://kolesa.kz//a/show/105184595; КПП автомат
Honda CR-V;2300000;Алматы;1996; кроссовер;2; серебристый; правый руль;https://kolesa.kz//a/show/104736919; КПП автомат
Hyundai Tucson;10300000;Алматы;2019; кроссовер;2; серебристый; левый руль;https://kolesa.kz//a/show/105658343; КПП автомат
ВАЗ (Lada) 2190 (седан);1800000;Алматы;2015; седан;1.6; черный; левый руль;https://kolesa.kz//a/show/102858083; КПП механика
Toyota Camry;4400000;Алматы;2006; седан;2.4; золотистый; левый руль;https://kolesa.kz//a/show/105552035; КПП автомат
ГАЗ ГАЗель;3000000;Алматы;2004; фургон;2.9; белый; левый руль;https://kolesa.kz//a/show/105479643; КПП механика
Daewoo Lanos;1050000;Алматы;1999; седан;1.5; зеленый; левый руль;https://kolesa.kz//a/show/105405176; КПП механика
BMW 120;3950000;Алматы;2007; хэтчбек;2; синий; левый руль;https://kolesa.kz//a/show/105405858; КПП автомат
ВАЗ (Lada) 2191 (лифтбек);2800000;Алматы;2018; седан;1.6; белый; левый руль;https://kolesa.kz//a/show/105549509; КПП механика
BMW X6;19500000;Алматы;2016; лифтбэк;3; белый; левый руль;https://kolesa.kz//a/show/105387726; КПП типтроник
Hyundai Santa Fe;5700000;Алматы;2007; кроссовер;2.7; черный; левый руль;https://kolesa.kz//a/show/100508344; КПП автомат
Lincoln MKS;9700000;Алматы;2015; кроссовер;2.3; красный; левый руль;https://kolesa.kz//a/show/100101577; КПП типтроник
ЗАЗ Chance;1900000;Алматы;2012; седан;1.5; белый; левый руль;https://kolesa.kz//a/show/105405624; КПП механика
Mercedes-Benz E 200;10800000;Алматы;2014; седан;2; белый; левый руль;https://kolesa.kz//a/show/92918403; КПП автомат
Nissan Qashqai;7400000;Алматы;2015; кроссовер;1.6; серый; левый руль;https://kolesa.kz//a/show/104928379; КПП автомат
Lexus ES 350;5300000;Алматы;2007; седан;3.5; бордовый; левый руль;https://kolesa.kz//a/show/105095582; КПП типтроник
Toyota RAV 4;5350000;Алматы;2007; кроссовер;2.4; серебристый; левый руль;https://kolesa.kz//a/show/92685057; КПП автомат
Toyota Corolla;5500000;Алматы;2013; седан;1.6; красный; левый руль;https://kolesa.kz//a/show/105290559; КПП автомат
BMW 728;2400000;Алматы;1996; седан;2.8; черный; правый руль;https://kolesa.kz//a/show/103215345; КПП типтроник
BMW 525;1200000;Алматы;1989; седан;2.5; серебристый; левый руль;https://kolesa.kz//a/show/105223505; КПП механика
Mercedes-Benz CL 600;33600000;Алматы;2007; купе;6.3; белый; левый руль;https://kolesa.kz//a/show/105336996; КПП автомат
Skoda Rapid;6300000;Алматы;2018; лифтбэк;1.6; черный; левый руль;https://kolesa.kz//a/show/105214660; КПП автомат
Toyota Highlander;12100000;Алматы;2012; кроссовер;3.5; серый; левый руль;https://kolesa.kz//a/show/105290644; КПП автомат
Volkswagen Golf;1450000;Алматы;1993; седан;1.8; фиолетовый; левый руль;https://kolesa.kz//a/show/105689335; КПП механика
Nissan Altima;2100000;Алматы;2005; седан;2.5; черный; левый руль;https://kolesa.kz//a/show/102179533; КПП автомат
Toyota Land Cruiser;12500000;Алматы;2008; внедорожник;4; белый; левый руль;https://kolesa.kz//a/show/38707600; КПП типтроник
ВАЗ (Lada) 2170 (седан);2300000;Алматы;2013; седан;1.6; серебристый; левый руль;https://kolesa.kz//a/show/105650340; КПП механика
Nissan Qashqai;8200000;Алматы;2016; кроссовер;2; нет цвета; левый руль;https://kolesa.kz//a/show/104343967; КПП вариатор
Subaru Legacy;1300000;Алматы;1996; универсал;2.5; зеленый; правый руль;https://kolesa.kz//a/show/105450176; КПП автомат
Kia Cee’d;4400000;Алматы;2013; хэтчбек;1.6; красный; левый руль;https://kolesa.kz//a/show/105689222; КПП автомат
Toyota Camry;1900000;Алматы;1993; седан;2.2; белый; левый руль;https://kolesa.kz//a/show/105270872; КПП механика
Mitsubishi Outlander;14200000;Алматы;2019; кроссовер;3; белый; левый руль;https://kolesa.kz//a/show/105273318; КПП автомат
Audi 100;1100000;Алматы;1990; седан;2.3; черный; левый руль;https://kolesa.kz//a/show/105378412; КПП механика
ЗАЗ Chance;1580000;Алматы;2013; седан;1.5; серебристый; левый руль;https://kolesa.kz//a/show/105640967; КПП механика
Lexus GS 250;11700000;Алматы;2014; седан;2.5; белый; левый руль;https://kolesa.kz//a/show/105280592; КПП автомат
Audi A8;4300000;Алматы;2006; седан;4.2; черный; левый руль;https://kolesa.kz//a/show/105199549; КПП типтроник
Ford F-Series;21000000;Алматы;2012; пикап;6.7; белый; левый руль;https://kolesa.kz//a/show/105290165; КПП автомат
BMW 320;3100000;Алматы;2002; седан;2.5; серебристый; левый руль;https://kolesa.kz//a/show/105555296; КПП автомат
ВАЗ (Lada) 2170 (седан);2200000;Алматы;2012; седан;1.6; белый; левый руль;https://kolesa.kz//a/show/104096759; КПП механика
Infiniti G35;2800000;Алматы;2003; седан;3.5; серый; левый руль;https://kolesa.kz//a/show/105379474; КПП автомат
Suzuki Grand Vitara;2300000;Алматы;1999; кроссовер;2.5; белый; левый руль;https://kolesa.kz//a/show/97139838; КПП автомат
Subaru Impreza;2850000;Алматы;2007; седан;2; голубой; левый руль;https://kolesa.kz//a/show/37064438; КПП автомат
Toyota 4Runner;11000000;Алматы;2006; внедорожник;4; серебристый; левый руль;https://kolesa.kz//a/show/105151688; КПП автомат
Mitsubishi Galant;500000;Алматы;1989; седан;1.8; золотистый; левый руль;https://kolesa.kz//a/show/105649890; КПП механика
Toyota Camry;11950000;Алматы;2018; седан;2.5; серебристый; левый руль;https://kolesa.kz//a/show/105615789; КПП автомат
Mitsubishi Galant;950000;Алматы;1996; седан;2.5; синий; левый руль;https://kolesa.kz//a/show/104120125; КПП автомат
Jeep Grand Cherokee;5700000;Алматы;2005; внедорожник;5.7; черный; левый руль;https://kolesa.kz//a/show/103907465; КПП автомат
Suzuki Grand Vitara;5200000;Алматы;2011; кроссовер;2.4; серебристый; левый руль;https://kolesa.kz//a/show/105340347; КПП автомат
Daewoo Nexia;1000000;Алматы;2010; седан;1.5; нет цвета; левый руль;https://kolesa.kz//a/show/105615520; КПП механика
Toyota Camry;2400000;Алматы;1996; седан;2.2; вишня; левый руль;https://kolesa.kz//a/show/105434537; КПП автомат
Mitsubishi Lancer;950000;Алматы;1993; седан;1.6; красный; левый руль;https://kolesa.kz//a/show/105687623; КПП механика
Lexus RX 300;3450000;Алматы;2001; кроссовер;3; золотистый; левый руль;https://kolesa.kz//a/show/105055540; КПП автомат
Volkswagen Touareg;4700000;Алматы;2006; кроссовер;3.2; черный; левый руль;https://kolesa.kz//a/show/105335964; КПП автомат
Toyota Camry;3650000;Алматы;2002; седан;2.4; нет цвета; левый руль;https://kolesa.kz//a/show/104852417; КПП автомат
Mitsubishi Delica;1100000;Алматы;1992; микроавтобус;2.5; белый; правый руль;https://kolesa.kz//a/show/105613616; КПП автомат
Toyota Land Cruiser Prado;10900000;Алматы;2010; внедорожник;2.7; белый; левый руль;https://kolesa.kz//a/show/105415069; КПП автомат
BMW 760;5000000;Алматы;2007; седан;6; черный; левый руль;https://kolesa.kz//a/show/105641028; КПП типтроник
ВАЗ (Lada) 2190 (седан);3600000;Алматы;2019; седан;1.6; серый; левый руль;https://kolesa.kz//a/show/105612391; КПП автомат
Toyota Land Cruiser Prado;12300000;Алматы;2012; внедорожник;2.7; белый; левый руль;https://kolesa.kz//a/show/105539735; КПП типтроник
Toyota HiAce;1900000;Алматы;1994; минивэн;3; золотистый; правый руль;https://kolesa.kz//a/show/105336013; КПП автомат
SsangYong Korando;1900000;Алматы;2002; кроссовер;2.3; бежевый; левый руль;https://kolesa.kz//a/show/105650969; КПП механика
Nissan 350Z;5500000;Алматы;2003; купе;3.5; черный; левый руль;https://kolesa.kz//a/show/105589590; КПП механика
Lexus RX 350;7450000;Алматы;2007; кроссовер;3.5; нет цвета; левый руль;https://kolesa.kz//a/show/105543493; КПП автомат
Hyundai Accent;3550000;Алматы;2013; седан;1.6; белый; левый руль;https://kolesa.kz//a/show/105687784; КПП автомат
Porsche 911;70000000;Алматы;2017; купе;3.8; черный; левый руль;https://kolesa.kz//a/show/105272057; КПП робот
Mercedes-Benz Sprinter;21500000;Алматы;2015; микроавтобус;2.2; черный; левый руль;https://kolesa.kz//a/show/96988097; КПП типтроник
Mitsubishi Montero Sport;3700000;Алматы;2000; внедорожник;3; золотистый; левый руль;https://kolesa.kz//a/show/105335645; КПП автомат
Hyundai Elantra;5500000;Алматы;2015; седан;1.6; коричневый; левый руль;https://kolesa.kz//a/show/105213112; КПП автомат
Daewoo Nexia;1000000;Алматы;2006; седан;1.6; серый; левый руль;https://kolesa.kz//a/show/105608371; КПП механика
Hyundai Grandeur;12000000;Алматы;2018; седан;2.4; серый; левый руль;https://kolesa.kz//a/show/105438668; КПП типтроник
Toyota Camry;4750000;Алматы;2002; седан;3; золотистый; левый руль;https://kolesa.kz//a/show/102280175; КПП автомат
Daewoo Nexia;1500000;Алматы;2013; седан;1; сиреневый; левый руль;https://kolesa.kz//a/show/105403692; КПП механика
Kia Rio;4358000;Алматы;2014; седан;1.6; белый; левый руль;https://kolesa.kz//a/show/105368537; КПП автомат
Mercedes-Benz GLE Coupe 63 AMG;33000000;Алматы;2016; кроссовер;5.5; черный; левый руль;https://kolesa.kz//a/show/105326404; КПП автомат
Mercedes-Benz S 320;2800000;Алматы;1998; седан;3.2; черный; левый руль;https://kolesa.kz//a/show/104833330; КПП автомат
Toyota RAV 4;5200000;Алматы;2007; кроссовер;2; красный; левый руль;https://kolesa.kz//a/show/105513453; КПП автомат
Toyota Camry;8900000;Алматы;2015; седан;2.5; черный; левый руль;https://kolesa.kz//a/show/105614917; КПП автомат
BMW 530;3400000;Алматы;2002; седан;3; серый; левый руль;https://kolesa.kz//a/show/105687418; КПП механика
Toyota Camry;5100000;Алматы;2008; седан;2.4; белый; левый руль;https://kolesa.kz//a/show/105403248; КПП автомат
Mercedes-Benz C 280;2100000;Алматы;1997; седан;2.8; серебристый; левый руль;https://kolesa.kz//a/show/105126525; КПП автомат
BMW 728;2900000;Алматы;1997; седан;2.8; синий; левый руль;https://kolesa.kz//a/show/103088334; КПП автомат
Hyundai Elantra;7000000;Алматы;2018; седан;1.6; серый; левый руль;https://kolesa.kz//a/show/104796131; КПП автомат
Nissan Teana;7000000;Алматы;2014; седан;2.5; нет цвета; левый руль;https://kolesa.kz//a/show/105403199; КПП вариатор
Toyota Corolla;4400000;Алматы;2009; седан;1.8; серебристый; левый руль;https://kolesa.kz//a/show/103822065; КПП автомат
Toyota Land Cruiser;14600000;Алматы;2011; внедорожник;4.7; серебристый; левый руль;https://kolesa.kz//a/show/103944891; КПП автомат
Mercedes-Benz E 230;1100000;Алматы;1984; седан;2.3; зеленый; левый руль;https://kolesa.kz//a/show/103946346; КПП механика
Volkswagen Touareg;4100000;Алматы;2005; внедорожник;3.2; белый; левый руль;https://kolesa.kz//a/show/105588323; КПП автомат
Audi 80;1150000;Алматы;1992; седан;2.3; черный; левый руль;https://kolesa.kz//a/show/105513771; КПП механика
Toyota Avensis;6000000;Алматы;2012; седан;2; серебристый; левый руль;https://kolesa.kz//a/show/99025745; КПП автомат
Toyota Carina E;1800000;Алматы;1995; седан;1.6; серый; левый руль;https://kolesa.kz//a/show/103265256; КПП механика
BMW X5;3800000;Алматы;2001; кроссовер;4.4; черный; левый руль;https://kolesa.kz//a/show/105513394; КПП автомат
Mitsubishi Space Wagon;2450000;Алматы;1999; минивэн;2.4; черный; левый руль;https://kolesa.kz//a/show/105577425; КПП автомат
ГАЗ ГАЗель;7000000;Алматы;2013; лимузин;4.3; белый; левый руль;https://kolesa.kz//a/show/105173633; КПП автомат
Mazda Cronos;850000;Алматы;1992; седан;2; серебристый; левый руль;https://kolesa.kz//a/show/105613596; КПП механика
Honda Jazz;2800000;Алматы;2008; хэтчбек;1.4; белый; левый руль;https://kolesa.kz//a/show/105487935; КПП вариатор
Mazda Cronos;1100000;Алматы;1993; хэтчбек;2; зеленый; левый руль;https://kolesa.kz//a/show/105080362; КПП механика
Mitsubishi Outlander;4300000;Алматы;2007; кроссовер;3; черный; левый руль;https://kolesa.kz//a/show/105343153; КПП автомат
Hyundai Creta;7200000;Алматы;2017; кроссовер;2; белый; левый руль;https://kolesa.kz//a/show/105680006; КПП автомат
Mitsubishi Delica;2950000;Алматы;1995; микроавтобус;2.8; синий; правый руль;https://kolesa.kz//a/show/105669967; КПП автомат
Honda Odyssey;2800000;Алматы;1997; минивэн;2.3; белый; правый руль;https://kolesa.kz//a/show/105512955; КПП автомат
Mitsubishi Delica;1600000;Алматы;1995; внедорожник;2.5; белый; правый руль;https://kolesa.kz//a/show/105512593; КПП автомат
ВАЗ (Lada) 2194 (универсал);1850000;Алматы;2013; универсал;1.6; белый; левый руль;https://kolesa.kz//a/show/104823382; КПП механика
Toyota Camry;7700000;Алматы;2014; седан;3.5; нет цвета; левый руль;https://kolesa.kz//a/show/105684516; КПП автомат
Mercedes-Benz E 350;3670000;Алматы;2005; седан;3.2; серебристый; левый руль;https://kolesa.kz//a/show/102522568; КПП типтроник
Toyota Camry;4600000;Алматы;2005; седан;3; нет цвета; левый руль;https://kolesa.kz//a/show/104633585; КПП автомат
Ford Focus;2600000;Алматы;2013; седан;1.6; серебристый; левый руль;https://kolesa.kz//a/show/105108088; КПП автомат
Toyota Hilux Surf;3650000;Алматы;1997; внедорожник;3; зеленый; правый руль;https://kolesa.kz//a/show/105614122; КПП автомат
Hyundai Accent;4100000;Алматы;2014; седан;1.6; бежевый; левый руль;https://kolesa.kz//a/show/105674963; КПП типтроник
Audi A4;17200000;Алматы;2019; седан;1.4; серый; левый руль;https://kolesa.kz//a/show/105686782; КПП робот
Mercedes-Benz E 350;6200000;Алматы;2009; седан;3.5; черный; левый руль;https://kolesa.kz//a/show/105363195; КПП автомат
Toyota Corolla;5400000;Алматы;2013; седан;1.6; нет цвета; левый руль;https://kolesa.kz//a/show/99121171; КПП механика
Daewoo Nexia;950000;Алматы;2010; седан;1.5; белый; левый руль;https://kolesa.kz//a/show/105613917; КПП механика
Honda HR-V;3599000;Алматы;2005; кроссовер;1.6; белый; левый руль;https://kolesa.kz//a/show/105476663; КПП вариатор
Volkswagen Passat;950000;Алматы;1991; седан;2; серый; левый руль;https://kolesa.kz//a/show/105548750; КПП автомат
Toyota Land Cruiser Prado;12300000;Алматы;2012; внедорожник;3; серый; левый руль;https://kolesa.kz//a/show/103714043; КПП автомат
Kia Sportage;6550000;Алматы;2013; хэтчбек;2; коричневый; левый руль;https://kolesa.kz//a/show/102606414; КПП автомат
Infiniti FX35;5000000;Алматы;2005; кроссовер;3.5; белый; левый руль;https://kolesa.kz//a/show/105686622; КПП типтроник
Toyota Altezza;3000000;Алматы;1999; седан;2; серебристый; правый руль;https://kolesa.kz//a/show/105476256; КПП механика
Peugeot 206;1900000;Алматы;2009; кабриолет;1.6; серебристый; левый руль;https://kolesa.kz//a/show/104936099; КПП механика
Kia Optima;8400000;Алматы;2019; седан;2; коричневый; левый руль;https://kolesa.kz//a/show/101464844; КПП автомат
Toyota Camry;4600000;Алматы;2008; седан;2.4; черный; левый руль;https://kolesa.kz//a/show/101755165; КПП автомат
Toyota Caldina;1800000;Алматы;1996; универсал;2; черный; правый руль;https://kolesa.kz//a/show/105613761; КПП автомат
Lexus GS 450h;13100000;Алматы;2013; седан;3.5; белый; левый руль;https://kolesa.kz//a/show/103669122; КПП автомат
Peugeot Partner;3500000;Алматы;2011; микровэн;1.6; серый; левый руль;https://kolesa.kz//a/show/105571281; КПП механика
Toyota Corolla;3600000;Алматы;2008; седан;1.6; голубой; левый руль;https://kolesa.kz//a/show/104665825; КПП робот
Toyota Camry;9000000;Алматы;2014; седан;2.5; черный; левый руль;https://kolesa.kz//a/show/105268270; КПП автомат
Audi A6;32000000;Алматы;2020; седан;2; синий; левый руль;https://kolesa.kz//a/show/105468295; КПП типтроник
Opel Astra;850000;Алматы;1994; хэтчбек;1.6; голубой; левый руль;https://kolesa.kz//a/show/90475898; КПП механика
Subaru Forester;2500000;Алматы;1998; кроссовер;2; черный; правый руль;https://kolesa.kz//a/show/100906893; КПП автомат
Mazda CX-5;9390000;Алматы;2017; кроссовер;2; нет цвета; левый руль;https://kolesa.kz//a/show/103181183; КПП автомат
